Player,Runs,Strike Rate,100s,50s,4s,6s
V Kohli (RCB),6988,129.57,5,49,612,229
S Dhawan (DC/MI/PBKS/SRH),6506,127.11,2,49,734,145
DA Warner (DC/SRH),6189,139.39,4,59,621,217
RG Sharma (DC/MI),6063,129.96,1,41,539,250
SK Raina (CSK/GL),5528,136.73,1,39,506,203
AB de Villiers (DC/RCB),5162,151.68,3,40,413,251
MS Dhoni (CSK/RPS),5052,135.91,NaN,24,348,237
CH Gayle (KKR/KXIP/PBKS/RCB),4965,148.96,6,31,404,357
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),4952,130.35,NaN,27,481,182
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),4475,132.67,NaN,20,435,137
AM Rahane (CSK/DC/KKR/MI/RPS/RR),4298,123.01,2,30,449,91
AT Rayudu (CSK/MI),4273,127.28,1,22,356,168
G Gambhir (DC/KKR),4217,123.88,NaN,36,492,59
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),4163,134.42,4,33,355,168
SR Watson (CSK/RCB/RR),3874,137.91,4,21,375,190
F du Plessis (CSK/RCB/RPS),3869,133.5,NaN,30,349,137
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),3781,121.34,1,22,332,106
SV Samson (DC/RR),3738,136.47,3,19,294,171
KA Pollard (MI),3412,147.32,NaN,16,218,223
YK Pathan (KKR/RR/SRH),3204,142.97,1,13,262,158
JC Buttler (MI/RR),3120,148.64,5,18,307,145
BB McCullum (CSK/GL/KKR/Kochi/RCB),2880,131.74,2,13,293,130
PA Patel (CSK/DC/Kochi/MI/RCB/SRH),2848,120.78,NaN,13,365,49
SA Yadav (KKR/MI),2845,138.98,NaN,18,307,94
RR Pant (DC),2838,147.96,1,15,260,129
SS Iyer (DC/KKR),2776,125.38,NaN,19,237,99
Q de Kock (DC/LSG/MI/RCB/SRH),2764,133.91,2,19,277,106
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2750,129.71,NaN,13,217,149
V Sehwag (DC/KXIP),2728,155.44,2,16,334,106
DA Miller (GT/KXIP/RR),2635,138.32,1,12,179,123
M Vijay (CSK/DC/KXIP),2619,121.87,2,13,247,91
RA Jadeja (CSK/GL/Kochi/RR),2594,128.16,NaN,2,186,95
GJ Maxwell (DC/KXIP/MI/RCB),2581,156.42,NaN,16,211,150
WP Saha (CSK/GT/KKR/KXIP/SRH),2578,127.62,1,11,251,79
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2496,132.34,1,12,245,92
SPD Smith (DC/PWI/RPS/RR),2485,128.09,1,11,225,60
SE Marsh (KXIP),2477,132.74,1,20,266,78
JH Kallis (KKR/RCB),2427,109.22,NaN,17,255,44
N Rana (KKR/MI),2414,135.77,NaN,16,211,126
DR Smith (CSK/DC/GL/MI),2385,135.2,NaN,17,245,117
SR Tendulkar (MI),2334,119.81,1,13,295,29
Shubman Gill (GT/KKR),2239,127.36,NaN,17,229,53
AD Russell (DC/KKR),2177,175.42,NaN,10,146,186
HH Pandya (GT/MI),2176,143.91,NaN,10,163,116
R Dravid (RCB/RR),2174,115.51,NaN,11,268,28
KS Williamson (GT/SRH),2101,126.03,NaN,18,181,64
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2091,128.2,NaN,15,214,78
Ishan Kishan (GL/MI),2081,131.95,NaN,13,192,92
